generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
1,10000,0.1188118811881188,2.0,1.0,1.0,1.0,9440,0.0577
2,10000,0.25742574257425743,2.0,1.0,1.0,1.0,8899,0.1131
3,10000,0.27722772277227725,2.0,1.0,1.0,1.0,8287,0.197
4,10000,0.43524752475247525,4.0,1.0,1.0,1.0,7747,0.2829
5,10000,0.5934653465346534,4.0,1.0,1.0,1.0,7305,0.3755
6,10000,0.6534653465346535,6.0,1.0,1.0,1.0,6826,0.4817
7,10000,0.7916831683168317,4.0,1.0,1.0,1.0,6410,0.592
8,10000,0.8110891089108911,5.0,1.0,1.0,1.0,6135,0.6812
9,10000,1.028910891089109,7.0,1.0,1.0,1.0,5763,0.8073
10,10000,1.0467326732673268,6.0,1.0,1.0,1.0,5446,0.9233
11,10000,1.3245544554455446,6.0,1.0,1.0,1.0,5021,1.0732
12,10000,1.6413861386138613,7.0,1.0,1.0,1.0,4684,1.2079
13,10000,1.5803960396039605,7.0,1.0,1.0,1.0,4413,1.3444
14,10000,1.1875247524752475,6.0,1.0,1.0,1.0,4154,1.479
15,10000,1.4837623762376237,6.0,1.0,1.0,1.0,3917,1.6247
16,10000,1.9564356435643564,6.0,1.0,1.0,1.0,3744,1.7656
17,10000,1.9768316831683168,7.0,1.0,1.0,1.0,3529,1.9223
18,10000,2.4693069306930693,8.0,1.0,1.0,1.0,3327,2.0281
19,10000,2.566930693069307,11.0,1.0,1.0,1.0,3058,2.2044
20,10000,2.565148514851485,8.0,1.0,1.0,1.0,2862,2.3429
21,10000,2.8025742574257424,8.0,1.0,1.0,1.0,2699,2.5493
22,10000,3.1384158415841585,9.0,1.0,1.0,1.0,2487,2.7362
23,10000,2.8776237623762375,10.0,1.0,1.0,1.0,2211,2.9245
24,10000,2.586732673267327,10.0,1.0,1.0,1.0,2126,3.058
25,10000,3.082970297029703,11.0,1.0,1.0,1.0,1955,3.2156
26,10000,3.1605940594059407,9.0,1.0,1.0,1.0,1801,3.4114
27,10000,3.0801980198019803,9.0,1.0,1.0,1.0,1679,3.5818
28,10000,3.296039603960396,11.0,1.0,1.0,1.0,1599,3.7174
29,10000,3.100792079207921,10.0,1.0,1.0,1.0,1400,3.9525
30,10000,3.573069306930693,10.0,1.0,1.0,1.0,1365,4.052
31,10000,4.020594059405941,10.0,1.0,1.0,1.0,1246,4.2552
32,10000,4.477425742574257,13.0,1.0,1.0,1.0,1158,4.3868
33,10000,3.9633663366336633,11.0,1.0,1.0,1.0,1088,4.574
34,10000,4.419207920792079,12.0,1.0,1.0,1.0,981,4.7173
35,10000,4.416831683168317,13.0,1.0,1.0,1.0,929,4.9174
36,10000,4.381188118811881,12.0,1.0,1.0,1.0,824,5.0902
37,10000,4.285148514851485,15.0,1.0,1.0,1.0,780,5.2627
38,10000,4.117227722772277,13.0,1.0,1.0,1.0,721,5.4139
39,10000,4.393861386138614,10.0,1.0,1.0,1.0,715,5.5447
40,10000,4.891683168316832,15.0,1.0,1.0,1.0,673,5.7051
41,10000,5.033663366336634,14.0,1.0,1.0,1.0,634,5.8674
42,10000,5.282970297029703,15.0,1.0,1.0,1.0,600,6.024
43,10000,5.182970297029703,15.0,1.0,1.0,1.0,561,6.152
44,10000,5.297029702970297,14.0,1.0,1.0,1.0,528,6.3953
45,10000,5.834455445544554,14.0,1.0,1.0,1.0,468,6.5448
46,10000,5.8736633663366336,17.0,1.0,1.0,1.0,432,6.7368
47,10000,5.34930693069307,15.0,1.0,1.0,1.0,397,6.906
48,10000,5.96970297029703,17.0,1.0,1.0,1.0,420,7.0721
49,10000,5.924554455445545,14.0,1.0,1.0,1.0,383,7.2522
50,10000,6.473267326732674,17.0,1.0,1.0,1.0,345,7.4787
51,10000,6.00990099009901,14.0,1.0,1.0,1.0,316,7.6463
52,10000,6.181782178217822,15.0,1.0,1.0,1.0,281,7.8496
53,10000,6.057821782178218,15.0,1.0,1.0,1.0,246,7.9957
54,10000,6.6912871287128715,15.0,1.0,1.0,1.0,253,8.2353
55,10000,6.846534653465347,15.0,1.0,1.0,1.0,247,8.3738
56,10000,7.164158415841584,17.0,1.0,1.0,1.0,214,8.5739
57,10000,7.142970297029703,20.0,1.0,1.0,1.0,193,8.7174
58,10000,7.08059405940594,16.0,1.0,1.0,1.0,167,8.9495
59,10000,6.9990099009900995,14.0,1.0,1.0,1.0,156,9.043
60,10000,7.366336633663367,20.0,1.0,1.0,1.0,153,9.2327
61,10000,7.3376237623762375,16.0,1.0,1.0,1.0,135,9.3363
62,10000,7.488712871287129,17.0,1.0,1.0,1.0,130,9.4564
63,10000,7.863960396039604,16.0,1.0,1.0,1.0,140,9.5769
64,10000,8.226930693069306,16.0,1.0,1.0,1.0,138,9.744
65,10000,8.594455445544554,19.0,1.0,1.0,1.0,117,9.9587
66,10000,8.067722772277227,19.0,1.0,1.0,1.0,112,10.1486
67,10000,8.037623762376237,18.0,1.0,1.0,1.0,92,10.4104
68,10000,7.991683168316832,20.0,1.0,1.0,1.0,94,10.5568
69,10000,8.945346534653465,21.0,1.0,1.0,1.0,84,10.7585
70,10000,7.988712871287129,22.0,1.0,1.0,1.0,80,10.9048
71,10000,8.370693069306931,16.0,1.0,1.0,1.0,80,11.0314
72,10000,8.395445544554455,18.0,1.0,1.0,1.0,72,11.226
73,10000,8.471089108910892,20.0,1.0,1.0,1.0,66,11.4449
74,10000,9.29009900990099,19.0,1.0,1.0,1.0,65,11.576
75,10000,9.201188118811881,17.0,1.0,1.0,1.0,59,11.7385
76,10000,9.384554455445544,18.0,1.0,1.0,1.0,64,11.9045
77,10000,9.49980198019802,22.0,1.0,1.0,1.0,64,12.1015
78,10000,9.554653465346535,18.0,1.0,1.0,1.0,80,12.3387
79,10000,9.623564356435644,19.0,1.0,1.0,1.0,70,12.5096
80,10000,10.227326732673268,22.0,1.0,1.0,1.0,74,12.6524
81,10000,10.432475247524753,23.0,1.0,1.0,1.0,72,12.8717
82,10000,9.937623762376237,21.0,1.0,1.0,1.0,63,13.0782
83,10000,9.892673267326733,20.0,1.0,1.0,1.0,61,13.2553
84,10000,9.93009900990099,21.0,1.0,1.0,1.0,50,13.477
85,10000,11.162178217821783,23.0,1.0,1.0,1.0,39,13.7291
86,10000,10.415841584158416,19.0,1.0,1.0,1.0,41,13.8485
87,10000,10.212871287128714,21.0,1.0,1.0,1.0,40,13.8569
88,10000,10.985346534653466,24.0,1.0,1.0,1.0,40,13.9718
89,10000,10.593465346534654,23.0,1.0,1.0,1.0,40,14.1445
90,10000,11.658415841584159,25.0,1.0,1.0,1.0,39,14.2932
91,10000,10.125346534653465,20.0,1.0,1.0,1.0,34,14.37
92,10000,11.573861386138613,25.0,1.0,1.0,1.0,33,14.4795
93,10000,12.151089108910892,26.0,1.0,1.0,1.0,37,14.6079
94,10000,11.06138613861386,24.0,1.0,1.0,1.0,45,14.7823
95,10000,11.880792079207922,26.0,1.0,1.0,1.0,40,14.8991
96,10000,12.02079207920792,24.0,1.0,1.0,1.0,52,15.0447
97,10000,11.02,22.0,1.0,1.0,1.0,46,15.2929
98,10000,12.008118811881188,25.0,1.0,1.0,1.0,46,15.4696
99,10000,11.386930693069306,24.0,1.0,1.0,1.0,42,15.6791
100,10000,12.274851485148515,22.0,1.0,1.0,1.0,34,15.9697
101,10000,11.422178217821783,24.0,1.0,1.0,1.0,39,16.1612
102,10000,12.548118811881189,25.0,1.0,1.0,1.0,44,16.2281
103,10000,12.383960396039605,23.0,1.0,1.0,1.0,43,16.3732
104,10000,13.202772277227723,25.0,1.0,1.0,1.0,42,16.4226
105,10000,13.293663366336634,26.0,1.0,1.0,1.0,40,16.485
106,10000,13.954455445544555,25.0,1.0,1.0,1.0,41,16.6961
107,10000,13.182772277227723,29.0,1.0,1.0,1.0,40,16.8963
108,10000,12.927524752475248,23.0,1.0,1.0,1.0,33,17.0931
109,10000,13.825940594059405,27.0,1.0,1.0,1.0,33,17.2907
110,10000,14.97940594059406,29.0,1.0,1.0,1.0,34,17.3751
111,10000,14.268118811881187,26.0,1.0,1.0,1.0,35,17.5706
112,10000,14.071485148514851,27.0,1.0,1.0,1.0,38,17.728
113,10000,14.014653465346534,28.0,1.0,1.0,1.0,39,17.8596
114,10000,13.632079207920793,28.0,1.0,1.0,1.0,38,18.0278
115,10000,14.336831683168317,29.0,1.0,1.0,1.0,41,18.107
116,10000,14.405346534653466,28.0,1.0,1.0,1.0,40,18.2342
117,10000,15.206534653465347,29.0,1.0,1.0,1.0,35,18.4749
118,10000,15.127524752475248,30.0,1.0,1.0,1.0,43,18.7523
119,10000,15.204554455445544,28.0,1.0,1.0,1.0,47,18.9457
120,10000,16.07049504950495,30.0,1.0,1.0,1.0,50,19.041
121,10000,14.747920792079208,28.0,1.0,1.0,1.0,48,19.1539
122,10000,16.091881188118812,27.0,1.0,1.0,1.0,51,19.2842
123,10000,15.925148514851486,29.0,1.0,1.0,1.0,58,19.4805
124,10000,15.895643564356435,30.0,1.0,1.0,1.0,41,19.6497
125,10000,16.53920792079208,31.0,1.0,1.0,1.0,49,19.806
126,10000,16.335049504950494,31.0,1.0,1.0,1.0,49,20.0329
127,10000,14.886336633663367,29.0,1.0,1.0,1.0,49,20.2608
128,10000,16.052871287128713,32.0,1.0,1.0,1.0,37,20.4722
129,10000,15.71009900990099,32.0,1.0,1.0,1.0,35,20.5757
130,10000,17.07861386138614,31.0,1.0,1.0,1.0,36,20.7725
131,10000,17.102376237623762,31.0,1.0,1.0,1.0,42,20.9888
132,10000,16.364554455445546,30.0,1.0,1.0,1.0,46,21.0838
133,10000,17.223168316831682,32.0,1.0,1.0,1.0,46,21.1899
134,10000,16.374653465346533,33.0,1.0,1.0,1.0,44,21.2619
135,10000,17.05722772277228,30.0,1.0,1.0,1.0,41,21.4055
136,10000,16.704356435643565,30.0,1.0,1.0,1.0,37,21.6174
137,10000,17.314257425742575,31.0,1.0,1.0,1.0,40,21.9025
138,10000,16.408514851485148,29.0,1.0,1.0,1.0,35,22.0901
139,10000,17.06158415841584,29.0,1.0,1.0,1.0,36,22.3068
140,10000,17.95980198019802,32.0,1.0,1.0,1.0,40,22.3574
141,10000,17.60079207920792,30.0,1.0,1.0,1.0,43,22.5753
142,10000,17.548910891089108,34.0,1.0,1.0,1.0,41,22.8408
143,10000,18.45742574257426,29.0,1.0,1.0,1.0,46,23.0212
144,10000,18.195643564356434,37.0,1.0,1.0,1.0,51,23.0603
145,10000,17.79128712871287,30.0,1.0,1.0,1.0,43,23.118
146,10000,18.39940594059406,31.0,1.0,1.0,1.0,44,23.302
147,10000,18.865346534653465,32.0,1.0,1.0,1.0,50,23.4482
148,10000,19.544950495049505,34.0,1.0,1.0,1.0,52,23.6707
149,10000,20.08831683168317,39.0,1.0,1.0,1.0,55,23.7705
150,10000,19.63841584158416,36.0,1.0,1.0,1.0,64,23.9402
151,10000,20.05960396039604,33.0,1.0,1.0,1.0,54,23.9873
152,10000,18.554257425742573,30.0,1.0,1.0,1.0,44,24.1662
153,10000,19.17188118811881,40.0,1.0,1.0,1.0,47,24.3803
154,10000,19.39049504950495,34.0,1.0,1.0,1.0,58,24.5694
155,10000,19.85980198019802,39.0,1.0,1.0,1.0,46,24.5798
156,10000,19.745940594059405,34.0,1.0,1.0,1.0,43,24.7965
157,10000,18.98811881188119,34.0,1.0,1.0,1.0,39,24.9214
158,10000,18.907128712871287,35.0,1.0,1.0,1.0,36,25.1081
159,10000,19.677029702970298,34.0,1.0,1.0,1.0,42,25.2871
160,10000,19.787524752475246,32.0,1.0,1.0,1.0,35,25.4683
161,10000,19.54930693069307,42.0,1.0,1.0,1.0,45,25.5809
162,10000,21.34990099009901,39.0,1.0,1.0,1.0,47,25.783
163,10000,21.107128712871287,42.0,1.0,1.0,1.0,45,26.0647
164,10000,21.003564356435643,37.0,1.0,1.0,1.0,41,26.2059
165,10000,20.414059405940595,36.0,1.0,1.0,1.0,44,26.4778
166,10000,20.32891089108911,34.0,1.0,1.0,1.0,53,26.6098
167,10000,21.84712871287129,37.0,1.0,1.0,1.0,54,26.9017
168,10000,22.914653465346536,43.0,1.0,1.0,1.0,55,27.0903
169,10000,21.57920792079208,37.0,1.0,1.0,1.0,48,27.3966
170,10000,21.57207920792079,36.0,1.0,1.0,1.0,45,27.5922
171,10000,21.918613861386138,34.0,1.0,1.0,1.0,55,27.7118
172,10000,21.604752475247526,37.0,1.0,1.0,1.0,52,27.9335
173,10000,22.287524752475246,35.0,1.0,1.0,1.0,48,28.0947
174,10000,22.33762376237624,37.0,1.0,1.0,1.0,58,28.2999
175,10000,21.84871287128713,37.0,1.0,1.0,1.0,45,28.3666
176,10000,22.66910891089109,37.0,1.0,1.0,1.0,55,28.5786
177,10000,22.381980198019804,37.0,1.0,1.0,1.0,50,28.7334
178,10000,24.20059405940594,45.0,1.0,1.0,1.0,45,28.8657
179,10000,22.764356435643563,43.0,1.0,1.0,1.0,44,29.0762
180,10000,21.164554455445543,34.0,1.0,1.0,1.0,46,29.2375
181,10000,21.9770297029703,44.0,1.0,1.0,1.0,53,29.4103
182,10000,22.24990099009901,36.0,1.0,1.0,1.0,55,29.4382
183,10000,24.138613861386137,46.0,1.0,1.0,1.0,47,29.5098
184,10000,22.216237623762375,49.0,1.0,1.0,1.0,38,29.7486
185,10000,23.43227722772277,48.0,1.0,1.0,1.0,45,29.8355
186,10000,23.65841584158416,47.0,1.0,1.0,1.0,47,30.0379
187,10000,23.206732673267325,41.0,1.0,1.0,1.0,42,30.219
188,10000,23.903564356435645,40.0,1.0,1.0,1.0,39,30.2777
189,10000,23.56970297029703,42.0,1.0,1.0,1.0,40,30.4876
190,10000,23.77069306930693,37.0,1.0,1.0,1.0,41,30.6829
191,10000,23.951485148514852,48.0,1.0,1.0,1.0,39,30.8738
192,10000,24.314455445544553,42.0,1.0,1.0,1.0,35,31.1186
193,10000,24.424158415841585,41.0,1.0,1.0,1.0,34,31.1697
194,10000,25.14851485148515,45.0,1.0,1.0,1.0,39,31.4086
195,10000,24.944158415841585,40.0,1.0,1.0,1.0,46,31.7752
196,10000,23.365544554455447,44.0,1.0,1.0,1.0,43,32.226
197,10000,25.519801980198018,46.0,1.0,1.0,1.0,35,32.3846
198,10000,23.88871287128713,36.0,1.0,1.0,1.0,37,32.4817
199,10000,24.96079207920792,44.0,1.0,1.0,1.0,38,32.5768
200,10000,24.985346534653466,45.0,1.0,1.0,1.0,40,32.6735
201,10000,24.80891089108911,44.0,1.0,1.0,1.0,44,32.7818
202,10000,25.163762376237624,43.0,1.0,1.0,1.0,37,32.799
203,10000,24.83108910891089,50.0,1.0,1.0,1.0,48,32.998
204,10000,25.66970297029703,41.0,1.0,1.0,1.0,59,33.322
205,10000,26.774653465346535,53.0,1.0,1.0,1.0,59,33.5026
206,10000,25.14059405940594,47.0,1.0,1.0,1.0,54,33.683
207,10000,27.172079207920792,44.0,1.0,1.0,1.0,61,33.8627
208,10000,25.715643564356437,45.0,1.0,1.0,1.0,63,33.8284
209,10000,27.335049504950494,41.0,1.0,1.0,1.0,64,33.9477
210,10000,26.011287128712873,47.0,1.0,1.0,1.0,61,34.162
211,10000,26.586534653465346,45.0,1.0,1.0,1.0,59,34.1669
212,10000,26.393663366336632,47.0,1.0,1.0,1.0,69,34.4276
213,10000,27.52118811881188,51.0,1.0,1.0,1.0,61,34.5594
214,10000,26.016237623762375,41.0,1.0,1.0,1.0,66,34.7108
215,10000,28.090495049504952,49.0,1.0,1.0,1.0,77,34.8984
216,10000,26.76019801980198,48.0,1.0,1.0,1.0,70,34.9714
217,10000,26.82237623762376,46.0,1.0,1.0,1.0,76,35.13
218,10000,27.552475247524754,45.0,1.0,1.0,1.0,72,35.5237
219,10000,27.497227722772276,50.0,1.0,1.0,1.0,72,35.6529
220,10000,27.96178217821782,49.0,1.0,1.0,1.0,90,35.7265
221,10000,28.865544554455447,51.0,1.0,1.0,1.0,90,35.8362
222,10000,27.727524752475247,44.0,1.0,1.0,1.0,76,35.9452
223,10000,28.890891089108912,48.0,1.0,1.0,1.0,72,36.1918
224,10000,28.68138613861386,51.0,1.0,1.0,1.0,66,36.4782
225,10000,27.77881188118812,45.0,1.0,1.0,1.0,70,36.5703
226,10000,26.34158415841584,43.0,1.0,1.0,1.0,80,36.6675
227,10000,28.677227722772276,48.0,1.0,1.0,1.0,68,36.9457
228,10000,27.952871287128712,46.0,1.0,1.0,1.0,73,37.1633
229,10000,28.468712871287128,46.0,1.0,1.0,1.0,62,37.3344
230,10000,27.364554455445546,46.0,1.0,1.0,1.0,51,37.5992
231,10000,27.814653465346534,42.0,1.0,1.0,1.0,52,37.7545
232,10000,28.82990099009901,44.0,1.0,1.0,1.0,52,37.9281
233,10000,29.011287128712873,49.0,1.0,1.0,1.0,55,38.1725
234,10000,27.974059405940594,44.0,1.0,1.0,1.0,60,38.4301
235,10000,28.687920792079208,44.0,1.0,1.0,1.0,61,38.5172
236,10000,29.705148514851484,53.0,1.0,1.0,1.0,65,38.7353
237,10000,29.225940594059406,52.0,1.0,1.0,1.0,75,38.8779
238,10000,29.182772277227723,49.0,1.0,1.0,1.0,79,38.8737
239,10000,29.287128712871286,51.0,1.0,1.0,1.0,71,39.1972
240,10000,28.9980198019802,51.0,1.0,1.0,1.0,69,39.2965
241,10000,29.50059405940594,53.0,1.0,1.0,1.0,67,39.5189
242,10000,30.614851485148513,51.0,1.0,1.0,1.0,56,39.7272
243,10000,30.534653465346533,53.0,1.0,1.0,1.0,44,39.7382
244,10000,29.432475247524753,50.0,1.0,1.0,1.0,45,39.9493
245,10000,29.93940594059406,46.0,1.0,1.0,1.0,44,40.0173
246,10000,30.007326732673267,48.0,1.0,1.0,1.0,46,40.3928
247,10000,30.896831683168315,51.0,1.0,1.0,1.0,47,40.5826
248,10000,30.960594059405942,48.0,1.0,1.0,1.0,43,40.7111
249,10000,31.514059405940593,53.0,1.0,1.0,1.0,46,40.7779
250,10000,31.641188118811883,54.0,1.0,1.0,1.0,47,41.0912
251,10000,30.08217821782178,49.0,1.0,1.0,1.0,44,41.3301
252,10000,31.822178217821783,52.0,1.0,1.0,1.0,46,41.4457
253,10000,32.65069306930693,56.0,1.0,1.0,1.0,53,41.65
254,10000,31.549900990099008,54.0,1.0,1.0,1.0,59,41.8113
255,10000,32.51009900990099,53.0,1.0,1.0,1.0,59,42.0411
256,10000,30.60277227722772,54.0,1.0,1.0,1.0,53,42.3209
257,10000,31.287722772277228,52.0,1.0,1.0,1.0,60,42.4134
258,10000,32.02079207920792,52.0,1.0,1.0,1.0,52,42.609
259,10000,31.756633663366337,53.0,1.0,1.0,1.0,52,42.7014
260,10000,30.945940594059405,48.0,1.0,1.0,1.0,51,42.843
261,10000,32.07386138613862,49.0,1.0,1.0,1.0,43,42.9411
262,10000,32.52376237623762,53.0,1.0,1.0,1.0,42,43.1544
263,10000,32.58534653465347,50.0,1.0,1.0,1.0,43,43.2081
264,10000,31.271485148514852,51.0,1.0,1.0,1.0,38,43.4778
265,10000,32.78495049504951,50.0,1.0,1.0,1.0,38,43.7371
266,10000,32.14217821782178,53.0,1.0,1.0,1.0,41,43.8272
267,10000,32.19188118811881,51.0,1.0,1.0,1.0,37,44.064
268,10000,32.99683168316832,58.0,1.0,1.0,1.0,38,44.2045
269,10000,32.96811881188119,51.0,1.0,1.0,1.0,46,44.5209
270,10000,34.44158415841584,52.0,1.0,1.0,1.0,47,44.6869
271,10000,33.9770297029703,51.0,1.0,1.0,1.0,55,44.8441
272,10000,31.5609900990099,58.0,1.0,1.0,1.0,56,45.1154
273,10000,33.81782178217822,51.0,1.0,1.0,1.0,61,45.1905
274,10000,34.67782178217822,48.0,1.0,1.0,1.0,47,45.359
275,10000,32.60910891089109,55.0,1.0,1.0,1.0,35,45.4872
276,10000,34.98871287128713,54.0,1.0,1.0,1.0,38,45.565
277,10000,35.27544554455446,58.0,1.0,1.0,1.0,39,45.7381
278,10000,35.83108910891089,53.0,1.0,1.0,1.0,49,45.9196
279,10000,35.444752475247526,57.0,1.0,1.0,1.0,47,46.1373
280,10000,34.109306930693066,54.0,1.0,1.0,1.0,46,46.2688
281,10000,35.466534653465345,54.0,1.0,1.0,1.0,44,46.3852
282,10000,35.39782178217822,59.0,1.0,1.0,1.0,41,46.5191
283,10000,33.093069306930694,55.0,1.0,1.0,1.0,47,46.7259
284,10000,34.82534653465346,55.0,1.0,1.0,1.0,43,47.0157
285,10000,34.47841584158416,60.0,1.0,1.0,1.0,44,47.2771
286,10000,36.128316831683165,57.0,1.0,1.0,1.0,55,47.5332
287,10000,35.92633663366337,58.0,1.0,1.0,1.0,64,47.6274
288,10000,37.40891089108911,58.0,1.0,1.0,1.0,71,47.7713
289,10000,35.26376237623762,57.0,1.0,1.0,1.0,67,47.9487
290,10000,37.56138613861386,55.0,1.0,1.0,1.0,60,48.0965
291,10000,37.34277227722772,60.0,1.0,1.0,1.0,61,48.177
292,10000,35.43980198019802,53.0,1.0,1.0,1.0,56,48.2493
293,10000,37.63445544554455,59.0,1.0,1.0,1.0,53,48.4888
294,10000,36.71188118811881,61.0,1.0,1.0,1.0,55,48.7742
295,10000,39.364950495049506,63.0,1.0,1.0,1.0,51,48.9588
296,10000,37.52039603960396,61.0,1.0,1.0,1.0,55,49.1263
297,10000,36.13722772277228,59.0,1.0,1.0,1.0,43,49.254
298,10000,38.3639603960396,63.0,1.0,1.0,1.0,46,49.3861
299,10000,36.960396039603964,58.0,1.0,1.0,1.0,48,49.5572
300,10000,37.90673267326733,59.0,1.0,1.0,1.0,47,49.8516
301,10000,37.40732673267327,62.0,1.0,1.0,1.0,37,49.7833
302,10000,38.09207920792079,63.0,1.0,1.0,1.0,33,50.0629
303,10000,37.314257425742575,61.0,1.0,1.0,1.0,38,50.3577
304,10000,38.51544554455445,65.0,1.0,1.0,1.0,37,50.6877
305,10000,38.20772277227723,58.0,1.0,1.0,1.0,38,50.6975
306,10000,37.733069306930695,61.0,1.0,1.0,1.0,38,51.0136
307,10000,38.75425742574257,59.0,1.0,1.0,1.0,42,51.1755
308,10000,38.41346534653465,61.0,1.0,1.0,1.0,42,51.3562
309,10000,37.265544554455445,59.0,1.0,1.0,1.0,45,51.4861
310,10000,38.000990099009904,62.0,1.0,1.0,1.0,52,51.651
311,10000,38.866534653465344,66.0,1.0,1.0,1.0,53,51.8235
312,10000,37.7570297029703,65.0,1.0,1.0,1.0,52,51.8633
313,10000,38.0839603960396,61.0,1.0,1.0,1.0,61,52.0786
314,10000,39.16930693069307,62.0,1.0,1.0,1.0,51,52.4549
315,10000,37.632277227722774,64.0,1.0,1.0,1.0,46,52.7267
316,10000,39.27861386138614,60.0,1.0,1.0,1.0,38,52.9921
317,10000,38.21980198019802,61.0,1.0,1.0,1.0,39,53.1658
318,10000,38.74811881188119,64.0,1.0,1.0,1.0,46,53.3365
319,10000,38.8590099009901,62.0,1.0,1.0,1.0,42,53.4576
320,10000,37.44237623762376,60.0,1.0,1.0,1.0,43,53.6745
321,10000,40.218217821782176,67.0,1.0,1.0,1.0,43,53.7937
322,10000,39.703366336633664,63.0,1.0,1.0,1.0,43,53.9861
323,10000,39.99029702970297,62.0,1.0,1.0,1.0,51,54.0749
324,10000,40.69148514851485,62.0,1.0,1.0,1.0,51,54.1398
325,10000,40.05564356435644,65.0,1.0,1.0,1.0,55,54.3397
326,10000,41.37227722772277,65.0,1.0,1.0,1.0,55,54.447
327,10000,39.477425742574255,58.0,1.0,1.0,1.0,52,54.5024
328,10000,41.46891089108911,67.0,1.0,1.0,1.0,48,54.6211
329,10000,40.577623762376234,61.0,1.0,1.0,1.0,45,54.8117
330,10000,39.37405940594059,59.0,1.0,1.0,1.0,39,54.8249
331,10000,39.862376237623764,66.0,1.0,1.0,1.0,39,54.83
332,10000,41.151881188118814,66.0,1.0,1.0,1.0,44,55.0175
333,10000,40.433267326732675,61.0,1.0,1.0,1.0,43,55.3007
334,10000,40.105148514851486,64.0,1.0,1.0,1.0,56,55.4026
335,10000,40.6,62.0,1.0,1.0,1.0,43,55.5344
